n 100
m 1
tmax 22.500000
0.638825 0.275676 2
0.118216 0.489269 4
0.291408 0.614997 7
0.580493 0.335584 1
0.157266 0.504410 5
0.259569 0.631135 3
0.489721 0.358310 1
0.032304 0.554649 0
0.254595 0.774977 4
0.599382 0.262721 1
0.094027 0.547114 2
0.266789 0.638918 6
0.501209 0.244315 4
0.228574 0.643290 2
0.193066 0.715443 5
0.589332 0.450901 5
0.201891 0.672843 3
0.486014 0.804837 3
0.456609 0.320799 0
0.166150 0.600013 7
0.370693 0.729439 4
0.575782 0.452442 4
0.103756 0.623701 7
0.241570 0.682112 3
0.470565 0.156738 3
0.046914 0.639186 3
0.270468 0.737269 7
0.566728 0.170777 1
0.139707 0.627886 4
0.370872 0.858780 7
0.429025 0.358794 1
0.190372 0.569055 3
0.168077 0.818916 0
0.628799 0.294625 5
0.240124 0.601639 3
0.386226 0.658538 2
0.602236 0.388480 2
0.162647 0.670373 3
0.244197 0.698834 2
0.543005 0.412196 5
0.130423 0.744432 7
0.421210 0.707582 4
0.550389 0.304297 4
0.000000 0.640552 3
0.393003 0.747118 6
0.662551 0.335226 0
0.250282 0.672919 7
0.320056 0.777515 4
0.500408 0.323260 3
0.214516 0.693535 7
0.325062 0.719163 7
0.593285 0.220821 1
0.208998 0.708848 2
0.339953 0.801121 4
0.675795 0.215197 2
0.246247 0.649432 3
0.445988 0.745237 2
0.494438 0.373575 4
0.275696 0.607341 3
0.287634 0.783603 2
0.436995 0.242401 1
0.133407 0.611942 2
0.289224 0.685431 5
0.527303 0.375503 2
0.121425 0.619009 7
0.393287 0.764592 2
0.628645 0.366321 4
0.183259 0.590421 3
0.396429 0.758929 7
0.411606 0.394736 3
0.294840 0.571133 2
0.307651 0.526038 2
0.424623 0.363311 3
0.086789 0.565093 4
0.369556 0.740457 2
0.581722 0.374460 2
0.194053 0.643357 5
0.277875 0.823425 2
0.399239 0.344425 3
0.222642 0.686854 5
0.351088 0.675651 7
0.417668 0.196856 2
0.183066 0.874508 0
0.183445 0.659250 2
0.408017 0.338379 5
0.378491 0.644841 2
0.447152 0.713856 7
0.624601 0.405916 3
0.024089 0.584748 3
0.264882 0.744016 3
0.740704 0.299929 5
0.307552 0.564595 2
0.119977 0.753796 5
0.667459 0.333850 5
0.102972 0.601640 1
0.442408 0.688118 5
0.574264 0.209820 4
0.000000 0.594700 1
0.341383 0.694051 3
0.595885 0.359851 5
