n 200
m 1
tmax 6.509232
0.552572 0.430883 10
0.038160 0.943110 2
0.451695 0.779152 4
0.189795 0.941641 1
0.866227 0.775425 9
0.749338 0.111852 8
0.952345 0.947550 5
0.627304 0.900786 10
0.366411 0.393168 10
0.128693 0.853989 6
0.656433 0.142763 5
0.379625 0.067532 5
0.527346 0.502574 5
0.168410 0.210379 7
0.869355 0.886185 1
0.706617 0.927021 6
0.673971 0.610869 4
0.890954 0.081876 6
0.526354 0.406842 2
0.291774 0.006093 2
0.296114 0.531829 10
0.806680 0.183638 7
0.801691 0.491623 3
0.141373 0.929498 6
0.861641 0.171972 6
0.135813 0.495846 3
0.182059 0.816210 4
0.971627 0.342508 5
0.917758 0.325331 4
0.803279 0.833661 7
0.999789 0.153360 10
0.929109 0.635088 3
0.344395 0.904386 4
0.496557 0.947003 8
0.966631 0.590806 1
0.442104 0.764394 4
0.124227 0.886246 9
0.128464 0.736409 1
0.235315 0.875542 8
0.433779 0.628651 7
0.567594 0.455710 1
0.713774 0.965472 7
0.170274 0.011567 9
0.541105 0.930989 3
0.836731 0.208060 7
0.094228 0.965486 7
0.222665 0.798342 6
0.518398 0.152303 8
0.325595 0.768879 9
0.910662 0.987446 4
0.555794 0.369871 9
0.362071 0.191373 14
0.332032 0.532631 10
0.436977 0.474535 5
0.857449 0.993919 7
0.986621 0.333565 4
0.539264 0.114164 7
0.305767 0.264836 8
0.430635 0.133546 1
0.333529 0.308013 5
0.073791 0.771893 5
0.073126 0.612463 5
0.134115 0.457662 9
0.981887 0.429500 4
0.859488 0.544183 2
0.302515 0.509254 4
0.562466 0.724259 5
0.914954 0.685273 5
0.252305 0.476321 5
0.368619 0.427805 7
0.406532 0.560721 2
0.799777 0.985225 1
0.710760 0.782782 1
0.635122 0.229756 4
0.393517 0.912398 1
0.955233 0.711985 1
0.869724 0.802484 1
0.201857 0.051444 3
0.794011 0.762523 7
0.368461 0.275792 14
0.662774 0.608059 4
0.097192 0.715269 7
0.717007 0.403847 1
0.718677 0.772807 5
0.007785 0.538612 5
0.613882 0.616910 6
0.804520 0.699054 8
0.020314 0.552017 4
0.448635 0.188346 1
0.089103 0.092652 9
0.907336 0.657836 3
0.272766 0.143275 5
0.887498 0.801828 2
0.135703 0.242302 14
0.632939 0.493139 9
0.993675 0.097100 8
0.759630 0.658639 6
0.582183 0.833138 5
0.801230 0.560044 5
0.173653 0.000138 3
0.758911 0.584655 10
0.177609 0.357964 12
0.973629 0.479383 2
0.173467 0.845589 2
0.613859 0.896314 8
0.524221 0.428885 8
0.943598 0.787921 6
0.385266 0.598118 4
0.216340 0.062698 1
0.426811 0.149503 10
0.793374 0.919837 10
0.616381 0.774849 10
0.910460 0.959862 9
0.494162 0.452020 4
0.851920 0.813444 7
0.557650 0.118112 2
0.774086 0.207065 3
0.172931 0.659034 10
0.361131 0.440481 10
0.351164 0.986155 6
0.631471 0.392067 1
0.915219 0.269990 6
0.908791 0.866448 4
0.728543 0.932520 4
0.544409 0.919370 8
0.546360 0.287504 10
0.345130 0.394382 14
0.354089 0.652181 6
0.794733 0.971636 9
0.133267 0.130163 11
0.891632 0.218384 8
0.211761 0.626936 6
0.542887 0.724217 2
0.493977 0.975083 10
0.888052 0.495017 2
0.103221 0.597917 4
0.683907 0.321269 3
0.325525 0.153210 8
0.300541 0.043021 10
0.891413 0.968375 9
0.328579 0.881432 8
0.709183 0.941790 5
0.266785 0.683361 9
0.684198 0.809767 4
0.793992 0.868813 7
0.017376 0.144811 8
0.067660 0.386054 10
0.540602 0.168491 7
0.343047 0.247931 9
0.667697 0.621868 9
0.000738 0.162265 1
0.063210 0.622029 2
0.356401 0.900115 4
0.622368 0.521246 7
0.104659 0.569417 1
0.712146 0.949734 3
0.110824 0.619404 9
0.783039 0.737167 2
0.507234 0.934173 4
0.638786 0.591560 6
0.765502 0.029906 9
0.862828 0.672182 8
0.011681 0.124495 10
0.366136 0.486267 1
0.865422 0.292180 8
0.295733 0.594422 6
0.927138 0.711027 5
0.251355 0.542914 3
0.575655 0.676319 6
0.075775 0.042767 5
0.448792 0.035701 6
0.250924 0.722449 3
0.596053 0.028371 8
0.902212 0.355190 3
0.116917 0.536446 8
0.797178 0.923020 2
0.038482 0.731749 6
0.899903 0.734446 8
0.833550 0.615508 10
0.035908 0.765301 2
0.236737 0.898136 7
0.635193 0.198663 9
0.535710 0.448173 7
0.172221 0.772098 7
0.663338 0.082260 6
0.179488 0.936591 9
0.997802 0.219525 1
0.841857 0.938055 10
0.675843 0.516726 9
0.997686 0.273554 9
0.053530 0.523740 9
0.108431 0.850259 10
0.938394 0.775634 2
0.497359 0.953767 7
0.557581 0.119760 6
0.289979 0.001210 10
0.345576 0.683187 7
0.491281 0.223612 8
0.314746 0.979398 6
0.520116 0.368997 1
