instance_id,budget,nodes,hull_vertices,hull_area,hull_perimeter,hull_compactness,density,budget_per_node,rad_0_5__degree_min,rad_0_5__degree_max,rad_0_5__degree_avg,rad_0_5__component_largest,rad_0_5__clustering_avg,rad_1_0__degree_min,rad_1_0__clustering_avg,knn_3__degree_max,knn_3__degree_avg,knn_3__components,knn_3__component_largest,knn_3__component_avg_size,knn_3__clustering_avg,knn_5__degree_max,knn_5__degree_avg,knn_5__components,knn_5__component_largest,knn_5__component_avg_size,knn_5__clustering_avg,knn_8__degree_max,knn_8__degree_avg,knn_8__components,knn_8__component_largest,knn_8__component_avg_size,knn_8__clustering_avg,knn_12__degree_max,knn_12__degree_avg,knn_12__components,knn_12__component_largest,knn_12__component_avg_size,knn_12__clustering_avg,nng_plain__degree_max,nng_plain__degree_avg,nng_plain__components,nng_plain__component_largest,nng_plain__component_avg_size,nng_plain__clustering_avg,delaunay__degree_max,delaunay__degree_avg,delaunay__clustering_avg,mst__degree_avg,mst__mst_edge_sum,mst__mst_edge_max,mst__mst_leaves,mst__mst_diameter,mst__mst_edge_sum_per_sqrtA,mst__mst_edge_max_per_sqrtA,mst__mst_edge_sum_units_s,mst__mst_edge_sum_units_m
mix_clustered_n100_s42023,3.472068,100.0,12.0,0.5694816158346613,2.9093274500569803,0.8454819948063443,175.59829364014658,0.03472068,23.0,86.0,57.08,100.0,0.7950701434976929,86.0,0.9802014756149252,8.0,4.18,7.0,26.0,14.285714285714286,0.6308809523809525,12.0,6.52,5.0,37.0,20.0,0.7322496392496392,12.0,9.54,3.0,75.0,33.333333333333336,0.8035887445887444,22.0,13.06,1.0,100.0,100.0,0.8805611625216884,3.0,1.44,28.0,7.0,3.571428571428572,0.0,16.0,5.72,0.4633214285714281,1.98,4.202036837414172,0.2775540006287064,22.0,1.7966282905529214,5.568266351192752,0.3677965382356848,0.5624511465851264,1.8947550198497785
mix_clustered_n100_s42002,3.666203,100.0,12.0,0.5172160437284966,2.963669259124146,0.7399840880325255,193.3428036746927,0.03666203,27.0,86.0,66.04,100.0,0.8556312125283803,81.0,0.9834918430845556,7.0,3.74,2.0,75.0,50.0,0.5151904761904764,10.0,6.28,1.0,100.0,100.0,0.5681825396825398,15.0,9.76,1.0,100.0,100.0,0.6075379620379622,22.0,14.5,1.0,100.0,100.0,0.6516900802156222,4.0,1.38,31.0,9.0,3.225806451612903,0.0,8.0,5.7,0.4433333333333333,1.98,5.102067590295675,0.1538337609759314,23.0,2.1613936277875023,7.094310845947424,0.2139024032218256,0.7165970551462044,1.3668429670435285
mix_clustered_n100_s42027,30.0,100.0,14.0,0.7339521949275114,3.267476296519662,0.8638786604003672,136.248655826796,0.3,19.0,82.0,54.66,100.0,0.8153337712827653,78.0,0.9838450285515284,6.0,3.74,3.0,80.0,33.333333333333336,0.5800000000000001,10.0,6.14,1.0,100.0,100.0,0.6418968253968252,14.0,9.62,1.0,100.0,100.0,0.6668851148851149,22.0,14.32,1.0,100.0,100.0,0.686973111683638,3.0,1.38,31.0,5.0,3.225806451612903,0.0,10.0,5.66,0.46865873015873,1.98,5.657182915282656,0.1701991460906899,20.0,3.1540503240817093,6.603380673655524,0.1986659736477304,0.6670081488540932,1.4697782668142447
mix_clustered_n100_s42029,22.5,100.0,11.0,0.1174322643498365,1.3968736334036622,0.7562807727218659,851.5547286229196,0.225,74.0,99.0,96.88,100.0,0.9825769753614988,99.0,1.0,7.0,4.08,2.0,50.0,50.0,0.5124285714285713,9.0,6.46,2.0,50.0,50.0,0.5884126984126984,16.0,10.12,2.0,50.0,50.0,0.6746028693528692,23.0,14.9,2.0,50.0,50.0,0.7432428478290974,3.0,1.38,31.0,7.0,3.225806451612903,0.0,9.0,5.72,0.4438095238095235,1.98,1.8778698246080432,0.1976223988646024,27.0,0.8746491470675504,5.479889053449154,0.5766900378627337,0.5535241468130457,1.6260869688363455
mix_clustered_n100_s42059,30.0,100.0,8.0,0.4081633906362237,2.5454236394378467,0.7916327756239354,244.9999247706298,0.3,24.0,84.0,58.68,100.0,0.8874198118569399,99.0,1.0,7.0,3.98,7.0,25.0,14.285714285714286,0.636285714285714,12.0,6.6,5.0,50.0,20.0,0.6856796536796536,16.0,9.9,5.0,50.0,20.0,0.7981370296370297,23.0,13.66,2.0,62.0,50.0,0.858340438569372,3.0,1.36,32.0,5.0,3.125,0.0,10.0,5.78,0.4525952380952378,1.98,2.898661724693132,0.2967482124663938,23.0,1.5506107103245932,4.537122565551902,0.4644843513814987,0.4582952086416063,2.2336433617651448
mix_clustered_n100_s42064,18.0,100.0,11.0,0.5982395084833543,3.199403439616434,0.7344241347443783,167.15713118566532,0.18,24.0,74.0,56.7,100.0,0.9052949235569216,53.0,0.9300117847633048,7.0,3.78,3.0,65.0,33.333333333333336,0.6104761904761903,9.0,6.18,2.0,75.0,50.0,0.6364682539682539,14.0,9.82,2.0,75.0,50.0,0.6431557331557333,24.0,14.6,2.0,75.0,50.0,0.6840270692537146,3.0,1.36,32.0,5.0,3.125,0.0,9.0,5.72,0.4659285714285713,1.98,4.857040520065996,0.2974331790520351,22.0,2.097071566551852,6.279631815270485,0.384549160414833,0.6343062439667156,1.549099782361357
mix_clustered_n100_s42065,1.5969,100.0,10.0,0.2855428631602647,2.289252954209547,0.6846894046095813,350.2101186954677,0.015969,39.0,64.0,51.74,100.0,0.9776035151969208,99.0,1.0,6.0,3.98,4.0,40.0,25.0,0.5456666666666666,11.0,6.5,4.0,40.0,25.0,0.6467200577200574,19.0,10.14,3.0,40.0,33.333333333333336,0.7266394889080646,21.0,14.8,3.0,40.0,33.333333333333336,0.8010099549573226,3.0,1.48,26.0,6.0,3.8461538461538463,0.0,12.0,5.74,0.4415165945165943,1.98,2.534272340329542,0.4287850762421659,24.0,1.550126703781961,4.742612358377682,0.8024241788511095,0.479051753371483,1.850513869496157
mix_clustered_n100_s42067,1.975311,100.0,8.0,0.3545594370486073,2.5307694572689376,0.695654732826511,282.040158999606,0.01975311,32.0,96.0,71.76,100.0,0.8790726816510295,90.0,0.9969908755819812,7.0,3.96,3.0,50.0,33.333333333333336,0.5369999999999999,10.0,6.42,3.0,50.0,33.333333333333336,0.6089523809523806,18.0,10.02,3.0,50.0,33.333333333333336,0.6801760869849107,24.0,14.82,3.0,50.0,33.333333333333336,0.7459176797574629,3.0,1.48,26.0,10.0,3.8461538461538463,0.0,9.0,5.8,0.4532619047619046,1.98,3.35401641151419,0.2201134271619975,24.0,1.570477658485859,5.632752366927827,0.3696596187135537,0.5689648855482653,1.6273689210352549
mix_clustered_n100_s42075,30.0,100.0,11.0,0.4298131594523786,2.5509320412691863,0.8300261869116677,232.6592329732509,0.3,19.0,65.0,40.84,66.0,0.951014985985143,99.0,1.0,8.0,3.98,7.0,18.0,14.285714285714286,0.6632619047619046,11.0,6.34,6.0,33.0,16.666666666666668,0.7300295815295814,16.0,9.94,5.0,33.0,20.0,0.7943390775890776,17.0,14.0,5.0,33.0,20.0,0.8906142387024732,3.0,1.34,33.0,6.0,3.0303030303030303,0.0,9.0,5.72,0.4757142857142855,1.98,2.6418989361990075,0.5247151227942645,23.0,2.011836634011442,4.02973368809733,0.8003569621858152,0.4070438068785181,2.570137621688428
mix_clustered_n100_s42112,2.294324,100.0,12.0,0.5032390994279126,3.091349652044041,0.6617409059660231,198.71269961670515,0.02294324,32.0,47.0,32.96,67.0,0.979254895855688,65.0,0.954258332239099,7.0,3.76,4.0,34.0,25.0,0.6273333333333333,10.0,6.32,3.0,34.0,33.333333333333336,0.6363253968253969,15.0,10.1,3.0,34.0,33.333333333333336,0.6642127872127875,28.0,15.18,3.0,34.0,33.333333333333336,0.7312922398799903,3.0,1.38,31.0,5.0,3.225806451612903,0.0,10.0,5.7,0.4843095238095234,1.98,3.1989108647664404,0.6580128502764973,23.0,2.151376158731316,4.509360442208078,0.927571052442584,0.4554909537583917,2.339517544235696
