model_tag,limit_s,delta_score_mean,delta_score_ci_lo,delta_score_ci_hi,n
global,1.0,0.1500000000000312,-22.781488095238082,21.89822619047621,700
global,5.0,5.788571428571397,-23.32741666666669,35.63972619047615,700
global,10.0,8.407619047619109,-24.95861904761899,41.184464285714256,700
global,20.0,13.508095238095198,-28.18122619047622,55.46051190476186,700
global,40.0,18.406190476190297,-37.678238095238264,75.1042857142855,700
per-limit-1.0s,1.0,0.39095238095239826,-22.502761904761886,22.366750000000014,700
per-limit-10.0s,10.0,8.322857142857206,-25.323452380952336,40.80015476190474,700
per-limit-20.0s,20.0,12.692857142857106,-29.411285714285746,54.48289285714283,700
per-limit-40.0s,40.0,18.038095238095067,-38.17239285714302,74.2567619047616,700
per-limit-5.0s,5.0,5.882857142857106,-23.384857142857168,35.680857142857114,700
