model_tag,limit_s,delta_score_mean,delta_score_ci_lo,delta_score_ci_hi,n
global,1.0,0.1499999999999993,-0.7828928571428577,1.0662142857142847,700
global,5.0,5.788571428571427,4.242345238095235,7.349523809523806,700
global,10.0,8.407619047619049,6.627583333333331,10.255357142857143,700
global,20.0,13.508095238095237,11.499964285714286,15.66098809523809,700
global,40.0,18.406190476190474,15.746642857142858,21.14735714285714,700
per-limit-1.0s,1.0,0.3909523809523804,-0.4134404761904765,1.190011904761904,700
per-limit-10.0s,10.0,8.322857142857142,6.4851190476190474,10.241976190476189,700
per-limit-20.0s,20.0,12.69285714285714,10.499976190476188,14.969119047619044,700
per-limit-40.0s,40.0,18.03809523809524,15.373321428571426,20.730047619047618,700
per-limit-5.0s,5.0,5.88285714285714,4.347523809523808,7.4623809523809514,700
