model_tag,limit_s,n_eff,wilcoxon_p,wilcoxon_z,effect_size_r,direction,delta_mean,delta_median,wilcoxon_p_holm,sig_star
global,1.0,145,0.13174924531566656,1.1181604073784654,0.09285816758419803,model < sbs (regret),-0.1499999999999993,0.0,0.13174924531566656,n.s.
global,5.0,269,1.8101002556556587e-17,inf,,model < sbs (regret),-5.788571428571427,0.0,3.6202005113113173e-17,***
global,10.0,337,9.413553232409266e-24,inf,,model < sbs (regret),-8.407619047619049,0.0,2.8240659697227797e-23,***
global,20.0,342,3.1622471058555855e-37,inf,,model < sbs (regret),-13.508095238095237,0.0,1.2648988423422342e-36,***
global,40.0,366,2.91630909617847e-44,inf,,model < sbs (regret),-18.406190476190474,0.0,1.458154548089235e-43,***
per-limit-1.0s,1.0,127,0.05077006237812257,1.637432535094924,0.145298641874621,model < sbs (regret),-0.3909523809523804,0.0,0.05077006237812257,n.s.
per-limit-10.0s,10.0,345,1.5783198758284166e-23,inf,,model < sbs (regret),-8.322857142857142,0.0,1.5783198758284166e-23,***
per-limit-20.0s,20.0,348,2.5263181209792517e-33,inf,,model < sbs (regret),-12.69285714285714,0.0,2.5263181209792517e-33,***
per-limit-40.0s,40.0,367,3.1978912429186405e-42,inf,,model < sbs (regret),-18.03809523809524,0.0,3.1978912429186405e-42,***
per-limit-5.0s,5.0,274,2.5832992422729918e-17,inf,,model < sbs (regret),-5.88285714285714,0.0,2.5832992422729918e-17,***
