model_tag,limit_s,delta,within_vbs_rate,n
global,1.0,0.001,0.4585714285714286,700
global,1.0,0.01,0.5128571428571429,700
global,1.0,0.05,0.7671428571428571,700
global,5.0,0.001,0.4785714285714286,700
global,5.0,0.01,0.5671428571428572,700
global,5.0,0.05,0.8814285714285715,700
global,10.0,0.001,0.3985714285714286,700
global,10.0,0.01,0.5414285714285715,700
global,10.0,0.05,0.8714285714285714,700
global,20.0,0.001,0.39,700
global,20.0,0.01,0.55,700
global,20.0,0.05,0.9014285714285715,700
global,40.0,0.001,0.3914285714285714,700
global,40.0,0.01,0.5471428571428572,700
global,40.0,0.05,0.9042857142857142,700
per-limit-1.0s,1.0,0.001,0.47285714285714286,700
per-limit-1.0s,1.0,0.01,0.5271428571428571,700
per-limit-1.0s,1.0,0.05,0.7742857142857142,700
per-limit-10.0s,10.0,0.001,0.3942857142857143,700
per-limit-10.0s,10.0,0.01,0.5342857142857143,700
per-limit-10.0s,10.0,0.05,0.8771428571428571,700
per-limit-20.0s,20.0,0.001,0.38142857142857145,700
per-limit-20.0s,20.0,0.01,0.54,700
per-limit-20.0s,20.0,0.05,0.8928571428571429,700
per-limit-40.0s,40.0,0.001,0.39,700
per-limit-40.0s,40.0,0.01,0.5442857142857143,700
per-limit-40.0s,40.0,0.05,0.9014285714285715,700
per-limit-5.0s,5.0,0.001,0.4757142857142857,700
per-limit-5.0s,5.0,0.01,0.5628571428571428,700
per-limit-5.0s,5.0,0.05,0.8814285714285715,700
