model_tag,limit_s,n_eff,wilcoxon_p,wilcoxon_z,effect_size_r,direction,delta_mean,delta_median,wilcoxon_p_holm,sig_star
global,1.0,145,0.2609788968292721,0.6403304419944912,0.05317654882038993,model < sbs (regret),-0.15,0.0,0.2609788968292721,n.s.
global,5.0,269,3.524840024552545e-17,inf,,model < sbs (regret),-5.788571428571427,0.0,7.04968004910509e-17,***
global,10.0,337,1.8616828861665348e-23,inf,,model < sbs (regret),-8.407619047619049,0.0,5.585048658499605e-23,***
global,20.0,342,6.302630402410923e-37,inf,,model < sbs (regret),-13.508095238095237,0.0,2.5210521609643692e-36,***
global,40.0,366,5.832980898972758e-44,inf,,model < sbs (regret),-18.406190476190474,0.0,2.916490449486379e-43,***
per-limit-1.0s,1.0,127,0.10029124199832976,1.279893812637276,0.1135722106005095,model < sbs (regret),-0.39095238095238105,0.0,0.10029124199832976,n.s.
per-limit-10.0s,10.0,345,3.1059107964268777e-23,inf,,model < sbs (regret),-8.322857142857142,0.0,3.1059107964268777e-23,***
per-limit-20.0s,20.0,348,5.02041478986042e-33,inf,,model < sbs (regret),-12.692857142857143,0.0,5.02041478986042e-33,***
per-limit-40.0s,40.0,367,6.39612224049192e-42,inf,,model < sbs (regret),-18.03809523809524,0.0,6.39612224049192e-42,***
per-limit-5.0s,5.0,274,5.0675412408679254e-17,inf,,model < sbs (regret),-5.882857142857142,0.0,5.0675412408679254e-17,***
