model_tag,limit_s,n_x,model_score_mean,vbs_score_mean,sbs_score_mean,regret_abs,regret_rel,sbs_regret_abs,sbs_regret_rel,within_1pct,within_5pct,n_y
global,1.0,700,566.9647619047619,584.3128571428572,566.8147619047619,17.34809523809531,0.02968973731456659,17.49809523809529,0.029946449105461403,0.5128571428571429,0.7671428571428571,700
per-limit-1.0s,1.0,700,567.2057142857143,584.3128571428572,566.8147619047619,17.10714285714289,0.029277368533002224,17.49809523809529,0.029946449105461403,0.5271428571428571,0.7742857142857142,700
global,5.0,700,700.4090476190476,712.5528571428572,694.6204761904762,12.143809523809637,0.017042678872277617,17.93238095238098,0.025166386988166645,0.5671428571428572,0.8814285714285715,700
per-limit-5.0s,5.0,700,700.5033333333333,712.5528571428572,694.6204761904762,12.049523809523862,0.01691035786150541,17.93238095238098,0.025166386988166645,0.5628571428571428,0.8814285714285715,700
global,10.0,700,755.6185714285714,769.7928571428571,747.2109523809523,14.174285714285702,0.01841311670115331,22.581904761904752,0.029335040657195943,0.5414285714285715,0.8714285714285714,700
per-limit-10.0s,10.0,700,755.5338095238095,769.7928571428571,747.2109523809523,14.259047619047578,0.018523226718381247,22.581904761904752,0.029335040657195943,0.5342857142857143,0.8771428571428571,700
global,20.0,700,828.0909523809523,842.7814285714286,814.5828571428572,14.69047619047626,0.0174309443616687,28.198571428571427,0.03345893783678877,0.55,0.9014285714285715,700
per-limit-20.0s,20.0,700,827.2757142857142,842.7814285714286,814.5828571428572,15.505714285714362,0.01839826289480251,28.198571428571427,0.03345893783678877,0.54,0.8928571428571429,700
global,40.0,700,920.8009523809524,935.4614285714285,902.3947619047619,14.660476190476174,0.015671919485621744,33.066666666666606,0.03534797443991222,0.5471428571428572,0.9042857142857142,700
per-limit-40.0s,40.0,700,920.4328571428572,935.4614285714285,902.3947619047619,15.028571428571354,0.016065410042102934,33.066666666666606,0.03534797443991222,0.5442857142857143,0.9014285714285715,700
