feature,pi_acc_mean,pi_acc_std,pi_f1_macro_mean,pi_f1_macro_std
limit_s,0.1730714285714286,0.0064960741676674885,0.20678062266627567,0.008617742115876249
budget,0.025785714285714315,0.0016521476437457742,0.08635831423325689,0.005237791726844512
budget_per_node,0.030178571428571457,0.0024987241642445337,0.07958594608676467,0.0063108858402420144
nodes,0.012000000000000025,0.0017261494247992242,0.026959860060079083,0.003171136439457152
mst__degree_avg,0.01000000000000005,0.0018350332255235903,0.02298819823466361,0.00354044640253735
density,0.0026785714285714607,0.0009993620414023706,0.008827979172686615,0.001879039982974419
rad_0_5__degree_avg,0.0021071428571428907,0.0023076514255928734,0.007080797048796231,0.004706050296093203
mst__mst_edge_max_per_sqrtA,0.0004642857142857365,0.001049173630112031,0.005087327117370255,0.0021178328839073814
knn_5__clustering_avg,0.0012857142857143206,0.0007559289460184369,0.00413575869087697,0.0014355802588360638
mst__mst_edge_sum_units_s,-0.0009999999999999593,0.0013324827218698172,0.00385053352103909,0.0021492482513947074
mst__mst_edge_max,0.00017857142857147235,0.001029538236099974,0.0038071740724346798,0.0021915417861287935
delaunay__clustering_avg,0.0009642857142857508,0.0005703114079525407,0.002511991363721905,0.001436539221654412
mst__mst_diameter,0.0013928571428571679,0.0010540253259552724,0.002373173168078793,0.00214467377756322
rad_0_5__clustering_avg,0.0006428571428571672,0.000696199596057783,0.0023219677633350283,0.0007425985184106905
rad_0_5__degree_min,7.142857142861114e-05,0.0006348710298082471,0.0021456038267722716,0.0014120809768559265
knn_8__degree_max,0.0007857142857143201,0.0004896896143143633,0.0017417445833661505,0.0011930183108603554
knn_12__components,-0.0002499999999999586,0.00033312068046744504,0.0017094260473638212,0.0007985591320908852
mst__mst_edge_sum_per_sqrtA,0.0005000000000000421,0.0019312151192279836,0.0015194179950070719,0.003535374618583248
knn_5__degree_max,0.0008571428571428896,0.0006851187890446963,0.0014952648213440722,0.0015518438086788717
hull_area,0.0009285714285714591,0.0006348710298082642,0.0013850928165832915,0.0016345667225117692
hull_vertices,0.00021428571428575016,0.0010570463276392266,0.0013437331189380536,0.0021030616089097193
hull_compactness,0.00010714285714287508,0.0004724555912615208,0.001228407619844385,0.0008395608005256917
nng_plain__degree_max,0.00014285714285718065,0.0002857142857142711,0.0010409863349078174,0.0005002964810785895
knn_5__components,-0.0009642857142856953,0.0006050383695034879,0.0009835191001058008,0.0011338254476398663
knn_3__component_largest,-0.0009285714285713897,0.0010177004891982235,0.0008288664072414742,0.002547360189795375
knn_12__degree_avg,-0.0005357142857142644,0.0005965461817317949,0.0004233884862311771,0.0011021163587245175
knn_3__components,-0.00021428571428568077,0.0006813851438692547,0.00037955687351626244,0.0013430350754463016
mst__mst_edge_sum,0.0003214285714285975,0.001004454365030381,0.00023848507240274708,0.0018968868637188518
delaunay__degree_max,-3.571428571426394e-05,0.000919599513541708,0.00023586340005894713,0.0019524597786969072
nng_plain__clustering_avg,0.0,0.0,0.0,0.0
knn_12__clustering_avg,-0.0015357142857142514,0.0008682318415102421,-0.00018930643230181954,0.0013412262178744
knn_3__degree_max,-0.0004642857142856671,0.0004935812486101709,-0.00029826871802121624,0.0009249873047580013
knn_3__degree_avg,-0.000999999999999987,0.0008451542547285244,-0.0003300026128741085,0.0015529595193945328
hull_perimeter,0.0005714285714286116,0.0014069796859708793,-0.00037025252030835343,0.002476587176098856
nng_plain__component_largest,-0.0006785714285714034,0.00034809979802887864,-0.000993126289645055,0.0010225000161472283
knn_12__degree_max,-0.001035714285714237,0.0009890987445804382,-0.0015692427557432165,0.0014788324098980886
knn_3__component_avg_size,-0.0006428571428571256,0.0008660254037844245,-0.0015770173291266426,0.001582650208728041
nng_plain__degree_avg,-0.0016428571428571126,0.0006348710298082596,-0.00187294916630186,0.0010862005428192811
knn_3__clustering_avg,-0.0009999999999999593,0.0005890150893739525,-0.0020013477211511255,0.001141999515991381
knn_8__components,-0.0018928571428571267,0.0005333280186810178,-0.002233981514837058,0.0014563739310084014
rad_1_0__clustering_avg,-0.0010357142857142648,0.0012611745416435407,-0.0028411247423670016,0.0017856215830588202
knn_8__clustering_avg,-0.0013571428571428068,0.0014410172144165606,-0.002901166743475153,0.0024231790383141666
delaunay__degree_avg,-0.002428571428571377,0.0017496355305594215,-0.003020969056765521,0.003262359084515964
knn_5__degree_avg,-0.002607142857142822,0.000561294058767908,-0.003749430970995435,0.0008221677241070699
knn_8__degree_avg,-0.0031071428571428222,0.0006614378277661505,-0.004301730258580286,0.0014400349176450066
mst__mst_edge_sum_units_m,-0.0036428571428570866,0.0012837286254008182,-0.004725806944352887,0.0024125378952495734
