scope,feature,class,pi_f1cls_mean,pi_f1cls_std
1.0,budget,grasp,0.09488004548524046,0.010163045879251232
1.0,nodes,grasp,0.017837301587301548,0.008953756367381225
1.0,hull_vertices,grasp,0.0006915415942569059,0.002507154560837302
1.0,hull_area,grasp,-0.004121003933427359,0.002786454536475416
1.0,hull_perimeter,grasp,0.0010321606925413952,0.0028880628804225685
1.0,hull_compactness,grasp,-0.0008564811491212909,0.0023691319521011237
1.0,density,grasp,0.0003375487016249679,0.002692725271049758
1.0,budget_per_node,grasp,0.07334348071981804,0.005790409147810374
1.0,rad_0_5__degree_min,grasp,-0.002393677463835697,0.002502675384713065
1.0,rad_0_5__degree_avg,grasp,-0.0029307100240761885,0.005834249846765643
1.0,rad_0_5__clustering_avg,grasp,0.0001731538705782798,0.0015745495497004277
1.0,rad_1_0__clustering_avg,grasp,0.00033453349165204484,0.003984967197552355
1.0,knn_3__degree_max,grasp,0.003604151421769153,0.0030429743592770126
1.0,knn_3__degree_avg,grasp,-0.0017108701209157529,0.0028065792783612134
1.0,knn_3__components,grasp,0.001374355071779476,0.00192671525343495
1.0,knn_3__component_largest,grasp,-0.001029751835857584,0.0038986170587342445
1.0,knn_3__component_avg_size,grasp,-0.0013707462809259495,0.002204614476595866
1.0,knn_3__clustering_avg,grasp,-0.0003406314783560571,0.003093344914141489
1.0,knn_5__degree_max,grasp,0.0013646055437099847,0.0016712936411313346
1.0,knn_5__degree_avg,grasp,0.0013764413953690547,0.00200650378698374
1.0,knn_5__components,grasp,0.00017057569296372588,0.0018994505288972164
1.0,knn_5__clustering_avg,grasp,0.001888641813611125,0.0012615609506256632
1.0,knn_8__degree_max,grasp,0.0025647791989734437,0.0014320653982763767
1.0,knn_8__degree_avg,grasp,0.004989370370993807,0.0033880692348456608
1.0,knn_8__components,grasp,-0.001023454157782533,0.0012534702308485554
1.0,knn_8__clustering_avg,grasp,0.005700808938397394,0.004606432973718522
1.0,knn_12__degree_max,grasp,0.0008373250164294355,0.0035259886832405434
1.0,knn_12__degree_avg,grasp,0.00017671949748092607,0.0025614349828823007
1.0,knn_12__components,grasp,-0.00034115138592754056,0.0021977140685245275
1.0,knn_12__clustering_avg,grasp,0.0013610823647466574,0.00674212666980679
1.0,nng_plain__degree_max,grasp,0.0,0.0
1.0,nng_plain__degree_avg,grasp,0.00341559950461543,0.0021640965704440335
1.0,nng_plain__component_largest,grasp,0.003075469530023045,0.0022036654255122063
1.0,nng_plain__clustering_avg,grasp,0.0,0.0
1.0,delaunay__degree_max,grasp,-0.0015341475007003113,0.0016600537278477678
1.0,delaunay__degree_avg,grasp,0.0027369452068247034,0.002112130940446235
1.0,delaunay__clustering_avg,grasp,0.0034315297834007106,0.002554144304988041
1.0,mst__degree_avg,grasp,0.0069500407797528085,0.005692637615419319
1.0,mst__mst_edge_sum,grasp,-0.0020519871797763044,0.002751131378296251
1.0,mst__mst_edge_max,grasp,0.001041455282708048,0.0032750320685950097
1.0,mst__mst_diameter,grasp,0.007678028180754026,0.0039263991459198505
1.0,mst__mst_edge_sum_per_sqrtA,grasp,-0.006008144804626858,0.0019670064976109905
1.0,mst__mst_edge_max_per_sqrtA,grasp,0.0005148189740414644,0.003491932427124573
1.0,mst__mst_edge_sum_units_s,grasp,0.001890251449683178,0.001135299908667746
1.0,mst__mst_edge_sum_units_m,grasp,-0.0013753888358045475,0.0019315040638484145
1.0,budget,greedy,0.028720422357653864,0.014296645714855815
1.0,nodes,greedy,0.04729620245775266,0.021501212805084238
1.0,hull_vertices,greedy,-0.009896895811374007,0.0034788845806826628
1.0,hull_area,greedy,-0.005496818415023674,0.005875994832393328
1.0,hull_perimeter,greedy,-0.004690487785674114,0.008605156202429895
1.0,hull_compactness,greedy,0.007454484540398254,0.005418536543505171
1.0,density,greedy,0.014256654969400252,0.0075305117379227795
1.0,budget_per_node,greedy,0.02234538620782973,0.01467466316477502
1.0,rad_0_5__degree_min,greedy,-0.0023794960349629024,0.005663811524834134
1.0,rad_0_5__degree_avg,greedy,0.02884108223348749,0.008162059704662977
1.0,rad_0_5__clustering_avg,greedy,0.00018936382936147745,0.006857540004941639
1.0,rad_1_0__clustering_avg,greedy,0.008150316764669685,0.003163132039461884
1.0,knn_3__degree_max,greedy,-0.00033287869853200204,0.0038564522223866688
1.0,knn_3__degree_avg,greedy,0.003717342862294437,0.005356511069480152
1.0,knn_3__components,greedy,0.0036797283337966615,0.006196109876385278
1.0,knn_3__component_largest,greedy,0.01318718653728106,0.007739450078972811
1.0,knn_3__component_avg_size,greedy,-0.0009892958461356737,0.003751043351114797
1.0,knn_3__clustering_avg,greedy,-0.004834082682600061,0.00699474918821659
1.0,knn_5__degree_max,greedy,-0.001326071513142324,0.0026521430262846485
1.0,knn_5__degree_avg,greedy,0.005611863327626088,0.00577163373185358
1.0,knn_5__components,greedy,0.005968436154949797,0.003211039350872473
1.0,knn_5__clustering_avg,greedy,-0.004775736611799997,0.0059470286454285275
1.0,knn_8__degree_max,greedy,0.009017286289367776,0.004708001718713573
1.0,knn_8__degree_avg,greedy,0.020014965952123997,0.012259979699670286
