model_tag,limit_s,delta_score_mean,delta_score_ci_lo,delta_score_ci_hi,n
global,1.0,0.1500000000000312,-21.591488095238077,21.519261904761915,700
global,5.0,5.788571428571397,-23.581797619047645,34.54790476190472,700
global,10.0,8.407619047619109,-24.42303571428566,42.44380952380957,700
global,20.0,13.508095238095198,-27.106821428571457,56.79986904761899,700
global,40.0,18.406190476190297,-37.32291666666684,74.45015476190457,700
per-limit-1.0s,1.0,0.39095238095239826,-21.307821428571415,21.895357142857158,700
per-limit-10.0s,10.0,8.322857142857206,-24.47429761904757,42.14942857142857,700
per-limit-20.0s,20.0,12.692857142857106,-28.284940476190506,55.981190476190406,700
per-limit-40.0s,40.0,18.038095238095067,-37.78770238095255,73.9472380952379,700
per-limit-5.0s,5.0,5.882857142857106,-23.323452380952407,34.82442857142854,700
