model_tag,limit_s,n_eff,wilcoxon_p,wilcoxon_z,effect_size_r,direction,delta_mean,delta_median,wilcoxon_p_holm,sig_star
global,1.0,700,0.9041825447912943,-1.3057578725450483,-0.04935300861741389,model < sbs (regret),-0.1500000000000312,64.8147619047619,1.0,n.s.
global,5.0,700,0.9815706262591908,-2.0873252095734554,-0.07889347728353059,model < sbs (regret),-5.788571428571397,81.7871428571429,1.0,n.s.
global,10.0,700,0.9464981064579151,-1.6118077229977121,-0.06092060566150328,model < sbs (regret),-8.407619047619109,107.37761904761902,1.0,n.s.
global,20.0,700,0.9906234042968245,-2.3504010829155093,-0.08883681066644775,model < sbs (regret),-13.508095238095203,146.08285714285716,1.0,n.s.
global,40.0,700,0.9999923138259095,-4.323284225478969,-0.16340478439522638,model < sbs (regret),-18.406190476190428,219.39476190476194,1.0,n.s.
per-limit-1.0s,1.0,700,0.8999525687744518,-1.2812813463729131,-0.04842788288583912,model < sbs (regret),-0.39095238095239826,64.8147619047619,0.8999525687744518,n.s.
per-limit-10.0s,10.0,700,0.9467822103037932,-1.6144235849975341,-0.061019475951726035,model < sbs (regret),-8.322857142857206,105.71095238095234,0.9467822103037932,n.s.
per-limit-20.0s,20.0,700,0.9913987624359255,-2.382351360731742,-0.09004441765817883,model < sbs (regret),-12.692857142857106,149.58285714285716,0.9913987624359255,n.s.
per-limit-40.0s,40.0,700,0.999993105682909,-4.347200216638681,-0.16430872389474377,model < sbs (regret),-18.038095238095188,219.39476190476194,0.999993105682909,n.s.
per-limit-5.0s,5.0,700,0.9816127812648815,-2.088259446663828,-0.07892878812648342,model < sbs (regret),-5.882857142857106,81.7871428571429,0.9816127812648815,n.s.
